Market,Customer,Category,Division,PromotionType,InStoreLocation,PromotionMonth,PromoDurationWeeks,ListPrice,PlannedPromoVolume,PlannedBaseVolume,PlannedIncrementalVolume,PlannedVolumeUplift,PlannedPromoRevenue,PlannedOnInvoiceSpend,PlannedOffInvoiceSpend,PlannedTradeSpend,PlannedCostPerUnit,PlannedNetRevenue,PlannedTurnover,PlannedGrossProfit,PlannedCOGS,PlannedEventSpend,PlannedBaseRevenue,PlannedBaseOnInvoiceSpend,PlannedBaseOffInvoiceSpend,PlannedBaseTurnover,PlannedBaseGrossProfit,PlannedBaseCOGS,PlannedBaseNetRevenue,PlannedROI,IsPipeFill,IsDefensivePromo,InstoreStartDate_Week,InstoreEndDate_Week,InstoreStartDate_Month,InstoreEndDate_Month,ActualSalesVolume,ForecastAccuracyRatio
Western Europe,BudgetHome Stores,FABRIC CLEANING,Personal Care & Home,Loyalty Mechanic,In-Store Event,May,1,14.13,8129.0,12443.0,-4314.0,0.653,114847.89,5429.55,3619.7,9049.25,1.1132,109418.34,105798.64,37596.58,68202.06,368.6,175794.9,3515.9,1757.95,170521.05,66125.8,104395.25,172279.0,-3.7355,0,1,22,23,5,5,6801.0,0.837
Southeast Asia,PrimeRetail Group,ORAL CARE,Food & Beverage,Multi-Buy Free Gift,In-Store Event,June,2,6.41,3415.0,1404.0,2011.0,2.432,21898.63,2028.28,1352.19,3380.47,0.9899,19870.34,18518.15,4528.39,13989.76,504.79,9002.52,180.05,90.03,8732.44,2981.26,5751.19,8822.47,0.3778,0,0,25,27,6,6,8340.0,2.442
Southeast Asia,EastMart Retail,SKIN CARE,Food & Beverage,Multi-Buy Free Gift,In-Store Event,April,4,1.71,18192.0,7928.0,10265.0,2.295,31041.12,1998.8,1332.53,3331.33,0.1831,29042.32,27709.79,11867.59,15842.2,18.69,13526.95,270.54,135.27,13121.14,6217.5,6903.64,13256.41,1.5742,0,0,17,21,4,4,45728.0,2.514
Western Europe,HealthFirst Pharmacy,DEODORANT & FRAGRANCE,Personal Care & Home,Multi-Buy Deal,In-Store Event,March,4,20.61,5112.0,3721.0,1391.0,1.374,105351.91,4101.42,2734.28,6835.7,1.3371,101250.49,98516.21,42076.15,56440.06,644.44,76683.22,1533.66,766.83,74382.73,33301.31,41081.42,75149.56,0.9471,0,0,15,19,3,3,1955.0,0.382
Western Europe,FineFood Retail,HAIR CARE,Personal Care & Home,Special Pack,Free Standing Unit,April,2,23.93,659.0,881.0,-222.0,0.748,15767.88,1776.52,1184.35,2960.86,4.4939,13991.36,12807.01,5563.27,7243.74,150.48,21089.25,421.79,210.89,20456.57,10768.2,9688.37,20667.47,-1.9716,0,1,19,21,4,4,342.0,0.519
Western Europe,NorthernMart Supermarkets,FABRIC CLEANING,Personal Care & Home,Everyday Low Price,Shelf,March,4,10.75,4287.0,2183.0,2104.0,1.964,46097.29,3906.24,2604.16,6510.4,1.5187,42191.05,39586.89,14744.38,24842.51,724.97,23475.63,469.51,234.76,22771.36,10120.0,12651.36,23006.12,0.6021,0,0,14,18,3,3,1799.0,0.42
Western Europe,NorthernMart Supermarkets,FABRIC CLEANING,Personal Care & Home,Stock Loading,None Specified,March,2,22.28,3753.0,2370.0,1383.0,1.583,83625.42,3650.82,2433.88,6084.71,1.6213,79974.6,77540.71,29910.89,47629.83,606.71,52817.97,1056.36,528.18,51233.43,21150.34,30083.09,51761.61,1.1794,1,0,14,16,3,3,2309.0,0.615
Southeast Asia,CityGrocer Ltd,ICE CREAM CATEGORY,Personal Care & Home,Temporary Price Reduction,Online,January,3,24.51,8483.0,3505.0,4979.0,2.421,207904.05,14109.68,9406.45,23516.13,2.772,193794.37,184387.92,69959.8,114428.12,3209.71,85888.57,1717.77,858.89,83311.92,36039.78,47272.13,84170.8,1.3328,0,0,6,9,1,1,18001.0,2.122
Southeast Asia,EastMart Retail,BEVERAGE,Personal Care & Home,Discounted Retail Price,Pallet Display,October,3,18.58,2475.0,1570.0,905.0,1.576,45984.18,4996.7,3331.13,8327.83,3.3652,40987.48,37656.35,14933.61,22722.74,197.93,29177.04,583.54,291.77,28301.73,13884.11,14417.62,28593.5,0.0209,0,0,43,46,10,10,4571.0,1.847
Western Europe,FineFood Retail,FABRIC CLEANING,Personal Care & Home,Shopper Activation,End of Aisle Display,November,3,18.31,1763.0,1233.0,529.0,1.429,32274.74,3795.3,2530.2,6325.5,3.5888,28479.44,25949.24,10125.54,15823.7,9.05,22585.26,451.71,225.85,21907.7,10834.57,11073.13,22133.55,-0.2192,0,0,45,48,11,11,1349.0,0.765
Southeast Asia,PrimeRetail Group,SKIN CLEANSING,Personal Care & Home,Multi-Buy Free Gift,Free Standing Unit,March,3,2.68,171468.0,43308.0,128160.0,3.959,459383.12,17779.28,11852.85,29632.13,0.1728,441603.84,429750.99,156835.45,272915.54,1252.66,116026.96,2320.54,1160.27,112546.16,43615.54,68930.62,113706.43,3.7034,0,0,13,16,3,3,291796.0,1.702
Western Europe,TopChoice Supermarkets,ICE CREAM CATEGORY,Personal Care & Home,Special Pack,Free Standing Unit,March,2,14.71,4234.0,4511.0,-277.0,0.939,62264.25,2495.18,1663.46,4158.64,0.9822,59769.06,58105.61,22496.61,35609.0,354.59,66340.1,1326.8,663.4,64349.9,26409.92,37939.98,65013.3,-1.4196,0,1,15,17,3,3,3677.0,0.869
Western Europe,GreenLeaf Supermarkets,DRESSING,Personal Care & Home,Multi-Buy Deal,Mid Aisle Display,November,3,23.38,4727.0,11099.0,-6372.0,0.426,110517.15,3817.89,2545.26,6363.15,1.346,106699.26,104154.0,42323.97,61830.03,849.9,259478.22,5189.56,2594.78,251693.87,106525.94,145167.93,254288.66,-11.313,0,1,45,48,11,11,3049.0,0.645
Southeast Asia,PrimeRetail Group,FABRIC ENHANCER,Food & Beverage,Temporary Price Reduction,Checkout Display,June,4,5.13,9576.0,5612.0,3964.0,1.706,49138.26,3418.09,2278.73,5696.82,0.5949,45720.17,43441.45,16312.6,27128.84,221.14,28795.94,575.92,287.96,27932.06,12034.05,15898.01,28220.02,0.5994,0,0,25,29,6,6,14143.0,1.477
Southeast Asia,CityGrocer Ltd,FABRIC CLEANING,Personal Care & Home,Special Pack,Online,October,3,15.84,17816.0,6090.0,11726.0,2.925,282193.93,32399.65,21599.77,53999.42,3.031,249794.28,228194.51,56722.14,171472.37,194.73,96461.58,1929.23,964.62,93567.74,34953.8,58613.93,94532.35,0.3495,0,0,42,45,10,10,44733.0,2.511
Southeast Asia,HomeSave Supermarkets,HAIR CARE,Food & Beverage,Multi-Buy Free Gift,Online,November,4,2.81,14651.0,8408.0,6243.0,1.742,41155.18,1713.3,1142.2,2855.49,0.1949,39441.88,38299.68,19304.58,18995.1,361.94,23619.19,472.38,236.19,22910.61,12009.22,10901.39,23146.8,2.3067,0,0,45,49,11,11,25372.0,1.732
Western Europe,ValueMart Stores,ORAL CARE,Food & Beverage,Temporary Price Reduction,End of Aisle Display,February,3,9.44,12481.0,6081.0,6401.0,2.053,117853.69,11018.62,7345.75,18364.37,1.4714,106835.06,99489.31,42035.54,57453.78,2067.64,57416.26,1148.33,574.16,55693.77,27703.29,27990.48,56267.93,0.6866,0,0,10,13,2,2,3503.0,0.281
Southeast Asia,CityGrocer Ltd,HOME & HYGIENE,Personal Care & Home,Everyday Low Price,End of Aisle Display,November,1,7.24,58092.0,15780.0,42311.0,3.681,420435.47,29644.86,19763.24,49408.1,0.8505,390790.61,371027.37,103981.28,267046.09,4891.35,114208.43,2284.17,1142.08,110782.17,38240.92,72541.25,111924.26,1.2612,0,0,46,47,11,11,225165.0,3.876
Southeast Asia,CityGrocer Ltd,ICE CREAM CATEGORY,Food & Beverage,Temporary Price Reduction,In-Store Event,December,4,24.22,7468.0,1997.0,5470.0,3.739,180837.36,12642.25,8428.17,21070.42,2.8215,168195.11,159766.94,66780.47,92986.46,1662.75,48366.6,967.33,483.67,46915.6,22045.52,24870.08,47399.27,2.0543,0,0,50,54,12,12,8089.0,1.083
Western Europe,NorthernMart Supermarkets,SCRATCH COOKING AID,Personal Care & Home,Temporary Price Reduction,Pallet Display,November,1,19.45,1701.0,5402.0,-3701.0,0.315,33093.67,2523.97,1682.64,4206.61,2.4724,30569.7,28887.06,8836.49,20050.56,329.69,105075.14,2101.5,1050.75,101922.88,38260.69,63662.19,102973.63,-7.7441,0,1,46,47,11,11,1182.0,0.695
Southeast Asia,Metro Grocery Group,HAIR CARE,Personal Care & Home,Multi-Unit Deal,Online,July,1,10.79,16038.0,7304.0,8734.0,2.196,173088.95,15897.72,10598.48,26496.2,1.6521,157191.23,146592.75,40496.37,106096.38,1658.89,78831.98,1576.64,788.32,76467.02,28146.27,48320.75,77255.34,0.3769,0,0,31,32,7,7,32310.0,2.015
Western Europe,HealthFirst Pharmacy,HEALTHY SNACKING,Personal Care & Home,Stock Loading,None Specified,August,2,6.52,2564.0,3107.0,-543.0,0.825,16711.8,1119.74,746.49,1866.23,0.7279,15592.06,14845.56,4972.13,9873.43,60.87,20250.49,405.01,202.5,19642.98,7678.86,11964.12,19845.48,-1.7759,1,1,35,37,8,8,1269.0,0.495
Western Europe,HealthFirst Pharmacy,DEODORANT & FRAGRANCE,Food & Beverage,Temporary Price Reduction,Checkout Display,October,2,13.39,3442.0,3880.0,-439.0,0.887,46081.99,4607.99,3071.99,7679.99,2.2314,41474.0,38402.01,9754.46,28647.54,973.28,51955.69,1039.11,519.56,50397.02,18098.01,32299.01,50916.57,-1.2894,0,1,43,45,10,10,1858.0,0.54
Southeast Asia,HomeSave Supermarkets,ORAL CARE,Personal Care & Home,Discounted Retail Price,None Specified,September,1,19.51,2015.0,623.0,1391.0,3.233,39296.8,2254.4,1502.93,3757.33,1.8651,37042.4,35539.47,11477.04,24062.43,165.65,12153.23,243.06,121.53,11788.64,4346.9,7441.73,11910.17,1.8006,0,0,38,39,9,9,2574.0,1.278
Southeast Asia,EastMart Retail,DEODORANT & FRAGRANCE,Food & Beverage,Other,Free Standing Unit,February,2,11.63,685.0,275.0,410.0,2.492,7967.67,647.27,431.51,1078.78,1.5751,7320.4,6888.89,3300.13,3588.76,42.19,3197.33,63.95,31.97,3101.41,1661.29,1440.13,3133.39,1.4302,0,0,10,12,2,2,3402.0,4.967
Southeast Asia,EastMart Retail,ORAL CARE,Personal Care & Home,Discounted Retail Price,Pallet Display,July,1,5.77,10566.0,4643.0,5923.0,2.276,60980.91,4596.25,3064.17,7660.42,0.725,56384.66,53320.49,21942.04,31378.46,296.58,26797.87,535.96,267.98,25993.93,12204.77,13789.16,26261.91,1.1662,0,0,29,30,7,7,9676.0,0.916
Western Europe,BudgetHome Stores,SKIN CARE,Personal Care & Home,Multi-Buy Deal,Mid Aisle Display,September,1,4.18,21311.0,10714.0,10597.0,1.989,89042.58,7831.45,5220.97,13052.41,0.6125,81211.14,75990.17,21062.92,54927.25,1130.38,44765.66,895.31,447.66,43422.69,15808.32,27614.37,43870.35,0.2997,0,0,37,38,9,9,17482.0,0.82
Western Europe,BudgetHome Stores,FABRIC CLEANING,Personal Care & Home,Multi-Buy Deal,Mid Aisle Display,February,3,11.65,446.0,505.0,-59.0,0.883,5196.0,623.08,415.38,1038.46,2.3288,4572.92,4157.54,1590.38,2567.16,16.08,5882.82,117.66,58.83,5706.34,2799.84,2906.5,5765.17,-1.3346,0,1,10,13,2,2,289.0,0.648
Southeast Asia,HomeSave Supermarkets,SKIN CLEANSING,Personal Care & Home,Temporary Price Reduction,Free Standing Unit,April,4,16.61,4679.0,1394.0,3285.0,3.356,77735.43,4541.06,3027.38,7568.44,1.6175,73194.36,70166.99,25523.24,44643.75,249.6,23164.87,463.3,231.65,22469.92,9166.25,13303.67,22701.57,2.0694,0,0,19,23,4,4,8630.0,1.844
Southeast Asia,EastMart Retail,BEVERAGE,Personal Care & Home,Temporary Price Reduction,Online,November,4,23.41,25095.0,8564.0,16532.0,2.93,587488.19,63001.42,42000.95,105002.36,4.1841,524486.77,482485.83,198070.91,284414.92,6879.09,200478.5,4009.57,2004.78,194464.14,97408.45,97055.7,196468.93,0.9014,0,0,46,50,11,11,11054.0,0.44
Western Europe,FineFood Retail,DEODORANT & FRAGRANCE,Food & Beverage,Temporary Price Reduction,Mid Aisle Display,September,3,4.52,15207.0,8820.0,6387.0,1.724,68677.58,6079.12,4052.75,10131.87,0.6663,62598.46,58545.71,14145.89,44399.82,1385.76,39832.66,796.65,398.33,38637.68,12886.0,25751.67,39036.0,0.0064,0,0,38,41,9,9,15176.0,0.998
Southeast Asia,CityGrocer Ltd,SKIN CLEANSING,Food & Beverage,Discounted Retail Price,Shelf,November,2,9.45,8179.0,2136.0,6043.0,3.829,77280.0,8674.59,5783.06,14457.65,1.7676,68605.41,62822.34,12883.32,49939.03,1435.23,20184.41,403.69,201.84,19578.88,6535.53,13043.35,19780.72,0.3972,0,0,46,48,11,11,7689.0,0.94
Western Europe,FineFood Retail,HEALTHY SNACKING,Food & Beverage,Loyalty Mechanic,In-Store Event,May,3,24.6,20071.0,8225.0,11846.0,2.44,493780.29,36765.95,24510.64,61276.59,3.053,457014.34,432503.7,124448.76,308054.94,6772.53,202356.85,4047.14,2023.57,196286.15,70041.68,126244.46,198309.71,0.7888,0,0,22,25,5,5,9794.0,0.488
Southeast Asia,CityGrocer Ltd,FABRIC ENHANCER,Food & Beverage,Everyday Low Price,In-Store Event,April,2,14.34,8973.0,3809.0,5164.0,2.356,128690.34,4918.78,3279.18,8197.96,0.9136,123771.56,120492.38,43107.11,77385.27,716.22,54622.67,1092.45,546.23,52983.99,20137.78,32846.21,53530.21,2.6019,0,0,17,19,4,4,32680.0,3.642
Western Europe,HealthFirst Pharmacy,HOME & HYGIENE,Personal Care & Home,Temporary Price Reduction,In-Store Event,March,2,14.22,10054.0,4028.0,6027.0,2.496,142991.73,7945.37,5296.91,13242.29,1.3171,135046.36,129749.45,36954.25,92795.2,1919.92,57281.44,1145.63,572.81,55563.0,18389.92,37173.08,56135.81,1.2721,0,0,13,15,3,3,5990.0,0.596
Southeast Asia,CityGrocer Ltd,DRESSING,Personal Care & Home,Multi-Unit Deal,Online,September,3,8.69,4150.0,1283.0,2867.0,3.235,36047.0,3544.56,2363.04,5907.59,1.4236,32502.44,30139.4,9450.25,20689.16,68.6,11143.99,222.88,111.44,10809.67,4413.58,6396.09,10921.11,0.796,0,0,38,41,9,9,13687.0,3.298
Western Europe,HealthFirst Pharmacy,SCRATCH COOKING AID,Food & Beverage,Temporary Price Reduction,Mid Aisle Display,October,1,13.18,31497.0,17693.0,13804.0,1.78,415282.35,47976.59,31984.39,79960.98,2.5387,367305.77,335321.37,123532.48,211788.89,229.9,233274.59,4665.49,2332.75,226276.35,107309.18,118967.17,228609.1,0.1154,0,0,43,44,10,10,25549.0,0.811
Southeast Asia,HomeSave Supermarkets,SCRATCH COOKING AID,Personal Care & Home,Other,Checkout Display,September,2,6.48,17870.0,4719.0,13151.0,3.787,115714.36,4973.59,3315.73,8289.31,0.4639,110740.77,107425.04,37788.68,69636.36,622.47,30554.97,611.1,305.55,29638.33,11250.48,18387.84,29943.87,3.0909,0,0,39,41,9,9,16262.0,0.91
Southeast Asia,Metro Grocery Group,SKIN CLEANSING,Personal Care & Home,Discounted Retail Price,Checkout Display,December,4,6.12,2463.0,666.0,1797.0,3.697,15077.38,1737.77,1158.52,2896.29,1.1759,13339.61,12181.09,4776.22,7404.87,266.61,4078.42,81.57,40.78,3956.07,1953.06,2003.01,3996.85,0.9325,0,0,50,54,12,12,4300.0,1.746
Western Europe,NorthernMart Supermarkets,SCRATCH COOKING AID,Personal Care & Home,Loyalty Mechanic,In-Store Event,February,3,13.56,19165.0,13378.0,5786.0,1.433,259905.66,10305.26,6870.18,17175.44,0.8962,249600.39,242730.22,103759.6,138970.62,1165.44,181431.81,3628.64,1814.32,175988.85,78977.92,97010.93,177803.17,1.126,0,0,9,12,2,2,5971.0,0.312
Southeast Asia,EastMart Retail,DEODORANT & FRAGRANCE,Personal Care & Home,Temporary Price Reduction,Pallet Display,April,2,6.63,6939.0,3346.0,3592.0,2.073,46005.31,1606.62,1071.08,2677.69,0.3859,44398.69,43327.61,22462.64,20864.97,41.28,22187.44,443.75,221.87,21521.82,11459.06,10062.76,21743.7,3.8608,0,0,18,20,4,4,8953.0,1.29
Southeast Asia,HomeSave Supermarkets,HAIR CARE,Food & Beverage,Multi-Buy Free Gift,None Specified,March,3,19.85,21175.0,11979.0,9195.0,1.768,420240.46,47032.33,31354.88,78387.21,3.7019,373208.13,341853.25,120568.63,221284.62,7415.06,237750.01,4755.0,2377.5,230617.51,105426.28,125191.23,232995.01,0.1022,0,0,15,18,3,3,31097.0,1.469
Southeast Asia,HomeSave Supermarkets,HAIR CARE,Personal Care & Home,Everyday Low Price,None Specified,December,2,7.88,10205.0,2766.0,7439.0,3.689,80401.11,2438.82,1625.88,4064.71,0.3983,77962.29,76336.4,37541.88,38794.52,213.11,21793.57,435.87,217.94,21139.76,10624.1,10515.66,21357.7,6.4615,0,0,50,52,12,12,64882.0,6.358
Southeast Asia,EastMart Retail,SCRATCH COOKING AID,Personal Care & Home,Multi-Unit Deal,End of Aisle Display,March,3,15.51,28583.0,11374.0,17209.0,2.513,443230.06,17583.18,11722.12,29305.3,1.0253,425646.88,413924.76,212971.98,200952.78,3998.26,176375.37,3527.51,1763.75,171084.11,91118.59,79965.52,172847.87,3.9775,0,0,15,18,3,3,31424.0,1.099
Southeast Asia,Metro Grocery Group,ICE CREAM CATEGORY,Personal Care & Home,Temporary Price Reduction,Pallet Display,June,3,16.31,13076.0,3818.0,9258.0,3.425,213251.5,25369.28,16912.85,42282.14,3.2337,187882.22,170969.36,60321.35,110648.01,391.72,62262.25,1245.24,622.62,60394.38,28088.89,32305.49,61017.0,0.7181,0,0,25,28,6,6,24711.0,1.89
Southeast Asia,PrimeRetail Group,DRESSING,Food & Beverage,Multi-Buy Free Gift,Free Standing Unit,April,1,18.16,2374.0,852.0,1522.0,2.786,43117.67,4809.74,3206.49,8016.23,3.3763,38307.93,35101.44,14510.74,20590.71,65.35,15474.3,309.49,154.74,15010.07,7620.37,7389.7,15164.82,0.8016,0,0,18,19,4,4,1939.0,0.817
Western Europe,TopChoice Supermarkets,DRESSING,Personal Care & Home,Temporary Price Reduction,End of Aisle Display,April,2,24.62,3356.0,2041.0,1315.0,1.645,82609.4,5160.82,3440.55,8601.37,2.5632,77448.58,74008.03,24395.35,49612.69,645.15,50233.4,1004.67,502.33,48726.4,18557.75,30168.65,49228.73,0.5035,0,0,19,21,4,4,2157.0,0.643
Western Europe,BudgetHome Stores,HAIR CARE,Food & Beverage,Everyday Low Price,Free Standing Unit,October,2,11.16,18348.0,8153.0,10195.0,2.251,204714.88,17275.36,11516.9,28792.26,1.5692,187439.53,175922.62,58006.09,117916.54,1802.61,90963.78,1819.28,909.64,88234.86,35839.39,52395.47,89144.5,0.6751,0,0,41,43,10,10,20142.0,1.098
Western Europe,NorthernMart Supermarkets,DRESSING,Food & Beverage,Loyalty Mechanic,End of Aisle Display,May,2,6.02,34671.0,14387.0,20285.0,2.41,208726.09,19737.88,13158.59,32896.47,0.9488,188988.21,175829.63,54169.89,121659.73,1694.39,86608.86,1732.18,866.09,84010.6,33529.07,50481.52,84876.69,0.5485,0,0,23,25,5,5,25266.0,0.729
Western Europe,GreenLeaf Supermarkets,BEVERAGE,Personal Care & Home,Temporary Price Reduction,End of Aisle Display,January,2,6.98,5449.0,2852.0,2597.0,1.911,38012.46,3922.23,2614.82,6537.05,1.1997,34090.23,31475.41,9896.26,21579.15,206.67,19892.62,397.85,198.93,19295.84,8003.08,11292.77,19494.77,0.1983,0,0,5,7,1,1,7065.0,1.297
Southeast Asia,EastMart Retail,FABRIC CLEANING,Personal Care & Home,Multi-Buy Free Gift,Shelf,April,3,6.3,6526.0,2399.0,4126.0,2.72,41112.32,3552.61,2368.41,5921.01,0.9073,37559.72,35191.31,13741.02,21450.29,884.28,15116.21,302.32,151.16,14662.73,6775.86,7886.86,14813.89,1.0998,0,0,18,21,4,4,34917.0,5.351
Western Europe,TopChoice Supermarkets,FABRIC ENHANCER,Personal Care & Home,Multi-Buy Deal,Mid Aisle Display,October,2,6.02,14606.0,10560.0,4047.0,1.383,87920.28,6308.65,4205.77,10514.42,0.7199,81611.62,77405.85,33519.24,43886.61,1442.86,63562.61,1271.25,635.63,61655.73,29927.58,31728.15,62291.36,0.1602,0,0,42,44,10,10,18123.0,1.241
Southeast Asia,PrimeRetail Group,HOME & HYGIENE,Food & Beverage,Multi-Buy Free Gift,Mid Aisle Display,November,2,2.69,2274.0,1008.0,1266.0,2.256,6126.24,441.99,294.66,736.65,0.3239,5684.25,5389.59,1587.49,3802.1,103.16,2715.54,54.31,27.16,2634.08,948.74,1685.34,2661.23,0.7565,0,0,46,48,11,11,4217.0,1.854
Western Europe,HealthFirst Pharmacy,HAIR CARE,Personal Care & Home,Multi-Buy Deal,In-Store Event,November,2,8.7,33417.0,26827.0,6590.0,1.246,290774.0,33904.0,22602.67,56506.67,1.691,256869.99,234267.32,47329.41,186937.92,2453.26,233429.99,4668.6,2334.3,226427.09,76355.5,150071.59,228761.39,-0.6376,0,0,45,47,11,11,30675.0,0.918
Western Europe,NorthernMart Supermarkets,SCRATCH COOKING AID,Food & Beverage,Other,Free Standing Unit,May,2,7.12,11062.0,14430.0,-3368.0,0.767,78719.23,4354.4,2902.93,7257.34,0.6561,74364.83,71461.89,29565.52,41896.38,255.09,102689.04,2053.78,1026.89,99608.37,44954.65,54653.72,100635.26,-2.545,0,1,23,25,5,5,11300.0,1.022
Southeast Asia,Metro Grocery Group,HAIR CARE,Personal Care & Home,Multi-Buy Free Gift,Online,December,3,18.94,21829.0,6985.0,14844.0,3.125,413387.83,13574.07,9049.38,22623.46,1.0364,399813.75,390764.37,194685.82,196078.55,2148.39,132272.12,2645.44,1322.72,128303.96,65564.51,62739.45,129626.68,5.532,0,0,50,53,12,12,42874.0,1.964
Western Europe,BudgetHome Stores,FABRIC CLEANING,Food & Beverage,Everyday Low Price,Shelf,November,1,17.3,1211.0,2536.0,-1325.0,0.477,20946.39,1927.62,1285.08,3212.7,2.6535,19018.77,17733.69,6877.31,10856.39,103.9,43869.23,877.38,438.69,42553.15,19816.0,22737.15,42991.84,-4.437,0,1,47,48,11,11,795.0,0.656
Southeast Asia,EastMart Retail,ICE CREAM CATEGORY,Food & Beverage,Multi-Unit Deal,Shelf,January,1,1.9,268765.0,86340.0,182425.0,3.113,510324.41,59418.61,39612.4,99031.01,0.3685,450905.8,411293.4,177096.53,234196.86,2125.14,163939.89,3278.8,1639.4,159021.69,83786.79,75234.9,160661.09,0.8926,0,0,6,7,1,1,981482.0,3.652
Western Europe,ValueMart Stores,HAIR CARE,Personal Care & Home,Special Pack,Shelf,November,1,3.2,599.0,429.0,170.0,1.398,1914.98,175.41,116.94,292.35,0.4881,1739.57,1622.63,568.16,1054.47,33.55,1370.07,27.4,13.7,1328.97,574.55,754.42,1342.67,-0.1624,0,0,46,47,11,11,906.0,1.513
